scenario_id_fr,text,group
3_48_3,tell the truth,2
3_49_3,Ask other staff members if they took it,4
3_50_3,He could tell his boss that someone stole it,2
3_51_3,Call others from the staff and have them drive to the bakery and chip in.,5
3_52_3,doctor the documents like it is balanced,3
3_53_3,Not do anything and let the staff work overtime.,12
3_54_3,"Say it is ""not his problem"" and just let the manager make the staff work overtime.",12
3_55_3,Brad could tell his manager what he knows,2
3_56_3,Talk to other employees and see if anybody knows anything about it.,4
3_57_3,Missing money is responsible for end of the day,0
3_58_3,speak to co workers about it,4
3_59_3,Make the staff to work overtime.,12
3_60_3,search for the money,14
3_61_3,Recover the money on his own fund,1
3_62_3,Call the manager,2
3_63_3,ask the staff about what happened and see who was responsible. Make the one responsible pay the difference,4
3_64_3,fire the employee working the register,10
3_65_3,Call the manager and see what to do,2
3_66_3,Leave and not tell anyone,6
3_67_3,redo calculations,9
3_68_3,Tell someone,2
3_69_3,Contact his manager and tell them the problem,2
3_70_3,call the owner and ask him what to do,2
3_71_3,Replace the money from his own pocket,1
3_72_3,Tell his higher ups the issue,2
3_73_3,Contribute the entire amount himself to solve the problem,1
3_74_3,Ask his co-workers for help in the situation.,4
3_75_3,Check to see if the missing money is in the form of a check,9
3_76_3,Quit his job,7
3_77_3,talk to his manager,2
3_78_3,put 50 of his own in to make the cover,1
3_79_3,Double check the transactions for the day,9
3_80_3,Tell management what happened.,2
3_81_3,Ask co-workers if they know anything about it.,4
3_82_3,ask a coworker to recount the drawer for him.  ,9
3_83_3,"Check under the till for large bills that may have been changed but not counted correctly, maybe there's a $50 bill there...",9
3_84_3,do nothing,6
3_85_3,lie to the manager.,2
3_86_3,He can tell his friend and ask him to tell his boss.,2
3_87_3,Brian will check who worked that and call the staff to see if they have any idea.,4
3_88_3,Search,13
3_89_3,"Look all around register (floor, counter, etc)",13
3_90_3,tell the manager that they were robbed,2
3_91_3,This module will explain the basics of the balance sheet,9
3_92_3,let everyone work overtime,12
3_93_3,Call and ask other staff if they know anything about it,4
3_94_3,replace the money out of his own pocket,1
3_95_3,ask his coworkers to chip in to make up the difference,5
3_96_3,Say nothing about it and hope for the,6
3_97_3,Report the money as a deficit and let the company cover the bill,2
3_98_3,Brian could lie that he was robbed,3
3_99_3,ask all the staff to pay the difference,5
3_100_3,Add his own money to make up for it.,1
3_101_3,ignore the problem,6
3_102_3,He could recount the money.,9
3_103_3,blame it on someone else,10
3_104_3,Replace money from own pocket,1
3_1_4,Try and sell more.,11
3_2_4,steal money to cover the difference,14
3_3_4,Change the records to erase the 50.75,3
3_4_4,Check the entire bakery to look for the money,13
3_5_4,Have the whole evening staff divide up the money to put in,5
3_6_4,Call staff find out who stole it.,13
3_7_4,Brian could blame someone else,10
3_8_4,Steal the money and put it in the register,14
3_9_4,Ask the staff to all pitch in some money ,5
3_10_4,Hide the mistake somehow,1
3_11_4,"Ask the employers, tell them that person can come to his office in private",4
3_12_4,he should try to balance the missing money,1
3_13_4,Put the money in the register himself.,1
3_14_4,put his own money in the drawer to make up for the loss,1
3_15_4,tell his manager the truth,2
3_16_4,Ask all the co-workers to contribute to the missing funds,5
3_17_4,blame one of his coworkers for stealing the cash,10
3_18_4,Brian can re-count the drawer.,9
3_19_4,Speak to any employee with access to the register.,4
3_20_4,confront each employee to see if they took the money,4
3_21_4,change the numbers of the accounting sheet,3
3_22_4,just put the money in myself,1
3_23_4,Do nothing and work overtime.,11
3_24_4,fix the numbers,3
3_25_4,Make the staff work overtime,12
3_26_4,search the employees,4
3_27_4,ask staff for money to pitch in,5
3_28_4,Ask the staff to chip in,5
3_29_4,record a false balance,3
3_30_4,pretend he thought all the money was there,6
3_31_4,Call corporate,2
3_32_4,ask the other employees,4
3_33_4,Look through receipts to determine why the money is missing. ,9
3_34_4,Speak to the manager and explain what's happened.,2
3_35_4,Lie about the total for the day,3
3_36_4,Check the logs of sales,9
3_37_4,Count the totals again to make sure.,9
3_38_4,Blame it on someone else.,10
3_39_4,Say that he forgot to place the money of a customer into the register.,2
3_40_4,take it out someones check,14
3_41_4,lie,3
3_42_4,lie and say it is balanced,3
3_43_4,Calls the manager to tell them about the missing amount.,2
3_44_4,Fib the books,3
3_45_4,recount,9
3_46_4,Brian could get his staff arrested for theft.,10
3_47_4,Review security footage,8
3_48_4,leave work,7
3_49_4,Ask other staff members to pitch in money to balance it,5
3_50_4,He could tell his boss that he messed up but he was overworked so should not pay,2
3_51_4,Leave it short so the manager will find out and identify why it's short.,6
3_52_4,just put it in the safe the way it is,1
3_53_4,Recheck the receipts to see if a mistake was made.,9
3_54_4,Quit his job so he doesn't have to deal with it.  ,7
3_55_4,Brian could ask the other workers if any of their registers are over to account for the difference,4
3_56_4,Go thru all the receipts and maybe try to figure out if there's a legit short somewhere.,9
3_57_4,manager will make the entire staff work,12
3_58_4,check cameras,8
3_59_4,Ask the staff to work overtime.,12
3_60_4,have a meeting with the staff,4
3_61_4,Or reduce his salary,1
3_62_4,Make the employee's work overtime,12
3_63_4,ask for donations from the entire staff to cover the difference so no one has to work overtime,5
3_64_4,do nothing and take the blame,6
3_65_4,Check security footage,8
3_66_4,Tell his manager,2
3_67_4,look through security camera for any incidences,8
3_68_4,Ask everyo To put money in to balance it,5
3_69_4,Offer to replace the money since he was in charge,1
3_70_4,call all the staff to a meeting and ask them about the missing money,4
3_71_4,Ask other workers to help replace the money,5
3_72_4,Work overtime to make up for it,11
3_73_4,Leave the manager a note,2
3_74_4,Ask his co-workers to pitch in to make up for the missing amount so they don't get in trouble.,5
3_75_4,Check the camera to see if another employee took the money,8
3_76_4,Ask other staff members if they know where the money is,4
3_77_4,quit and never come back,7
3_78_4,pretend he saw nothing,6
3_79_4,Try to plead with the manager to not make the staff work overtime,2
3_80_4,Pretend like he never noticed the money is missing.,6
3_81_4,Ask co-workers to chip in to pay the money.,5
3_82_4,Ask his boss to recount the money.,9
3_83_4,Tell the staff what's up and ask if they know anything about this.,4
3_84_4,hide the mistake,1
3_85_4,ask a customer to make up the difference.,15
3_86_4,He can tell his stuff and ask who knows what happened. ,4
3_87_4,Brian will check the receipts.,9
3_88_4,Analysis,13
3_89_4,Check register tape,8
3_90_4,go home saying he is sick,6
3_91_4, the company's obligations ,0
3_92_4,find out who took the money,13
3_93_4,Inform the manager in advance and ask for advice,2
3_94_4,just leave it as is and let people work overtime,12
3_95_4,try to explain the situation to the manager,2
3_96_4,Ask his coworkers for help,4
3_97_4,Implement a new method for counting money and verifying the amount twice,9
3_98_4,Brian could decide not to come back to work again,7
3_99_4,hide the error from the reporting to make it look like the amount is not missing,3
3_100_4,Go back through the receipts and try to find where the money went missing.,13
3_101_4,blame it on someone else,10
3_102_4,He could work the overtime needed to account for it.,11
3_103_4,take the punishment,11
3_104_4,Quit his job,7
3_1_5,Let his manager know the error.,2
3_2_5,alter the day's receipts,3
3_3_5,Offer to work it himself to make up the difference,11
3_4_5,Redo his paperwork to find his error,9
3_5_5,Fudge the record so it looks like nothings missing,3
3_6_5,Watch video of clerks.,8
3_7_5,Brian could try to find out who did it,13
3_8_5,Ask his family for the money,1
3_9_5,Quit his job,7
3_10_5,Report a robbery to the police.,0
3_11_5,Put his own personal money into the register,1
3_12_5,he should rectify the mistake,1
3_13_5,Fake the numbers so it looks like there is no loss.,3
3_14_5,find out who made the mistake and hold only them accountable,13
3_15_5,blame the difference on a coworker,10
3_16_5,Not say anything about it and act like you did not know that it was missing,6
3_17_5,make up a story about being robbed,3
3_18_5,Brian can just ignore the problem.,6
3_19_5,Review any video available.,8
3_20_5,quit and not have to work the overtime,7
3_21_5,lie about how much money is left,3
3_22_5,hope staff tells me that they made a mistake,4
3_23_5,Lie.,3
3_24_5,quit job,7
3_25_5,Ask everyone to pay for it equally,5
3_26_5,leave it as is,6
3_27_5,ask his manager what to do,2
3_28_5,Just leave the money msising,6
3_29_5,rob a bank to get the money,14
3_30_5,quit his job,7
3_31_5,Say that he got robbed,3
3_32_5,don't worry about it,6
3_33_5,Replace the money out of his own pocket. ,1
3_34_5,Go home early anyway.,6
3_35_5,Do not tell the manager about the disparity,6
3_36_5,Talk to the manager and ask for help.,2
3_37_5,Ask for help explain what happened.,4
3_38_5,Act like he didn't know the money was missing.,6
3_39_5,Borrow the money from a fellow employee.,5
3_40_5,work overtime myself,11
3_41_5,steal from the tip jar,14
3_42_5,add back the money to make it balance,1
3_43_5,Tell the manager that he believes one of the employees stole it.,2
3_44_5,Blame his coworker,10
3_45_5,tell manager,2
3_46_5,Brian could choose to cover the missing money with his.,1
3_47_5,Make employee put money in there,5
3_48_5,not say anything,6
3_49_5,Do nothing and act like he wasn't aware,6
3_50_5,He could say an emergency happened and he needed to use the money for the shop,3
3_51_5,Leave a note on the register for the morning manager and go home.,2
3_52_5,blame the loss on someone else,10
3_53_5,Not tell anyone and leave before seeing the manager.,2
3_54_5,Feign an illness so he can go home and not worry about the consequences. ,6
3_55_5,Brian could steal the money from another register and put it in his,14
3_56_5,"If all else fails, work OT with the rest of the staff keeping an eye out for one of the employees who might be guilty.",13
3_57_5,Barain is the evening manager at a barkey ,0
3_58_5,tell boos,2
3_59_5,Let the main manager do whatever he/she feels necessary.,2
3_60_5,check if there are cameras and find the guilty one. ,8
3_61_5,Lay off the job,7
3_62_5,Ignore it,6
3_63_5,steal money from the tip jar to help make up the difference,14
3_64_5,educate employees on handling money,4
3_65_5,Ask the other employees to see what happened,4
3_66_5,Blame it on someone else,10
3_67_5,tell the manager,2
3_68_5,Check cameras,8
3_69_5,Offer to work extra to pay the money back but request the manager investigate,11
3_70_5,forget about it and let the day time manager worry about it,6
3_71_5,Lie and state that the money is not missing.,3
3_72_5,Ask another worker to cover it,10
3_73_5,Quit,7
3_74_5,Make a deal with the manager so that you can take on the consequence alone.,2
3_75_5,Notify his manager now that there is an issue and that they are working to resolve it,2
3_76_5,Steal $50.75 from a customer and add it to the register,14
3_77_5,overcharge the next customer to make up for it.,15
3_78_5,forge the balance,3
3_79_5,Steal more money,14
3_80_5,Ask coworkers to pitch in to help cover the $50.75.,5
3_81_5,Look at security video to see if anyone stole the money.,8
3_82_5,Be honest and offer to stay over instead of his coworkers,11
3_83_5,See if there were any coupons used/not counted or discounts/refunds on the register tape ,9
3_84_5,quit the job,7
3_85_5,torture the staff until one confesses to stealing it.,4
3_86_5,He can leave his job and do not come back.,7
3_87_5,Brian will call the manager and tell what has happened.,2
3_88_5,Think well,0
3_89_5,Contact manager,2
3_90_5,quit job,7
3_91_5, Corporate Accounting Department in the month-end ,0
3_92_5,quit his job,7
3_93_5,Take the tip jar money,14
3_94_5,fudge the books for the day and make it look like nothing is missing,3
3_95_5,accept the situation and do the overtime work,11
3_96_5,Overcharge the remaining customers to make up for it,15
3_97_5,Have a meeting about theft and the consequences with staff,4
3_98_5,Brian could explain to the manager,2
3_99_5,work extra to pay off the amount,11
3_100_5,Quit that night and never come back to work.,7
3_101_5,ask others to chip in,5
3_102_5,He could explain to staff that overtime would be required of all if someone didn't come forward.,4
3_103_5,say he was robbed,3
3_104_5,Ignore the results and await the consequences,6
4_1_1,Go back to work to let her know.,12
4_2_1,reactivate her membership,1
4_3_1,Sneak into the gym and meet her friend,5
4_4_1,Go to the gym and ask if her friend is there yet,0
4_5_1,Sneak in,5
4_6_1,Pay her bill,1
4_7_1,Liz can wait for her friend to explain the situation,6
4_8_1,Let her friend wait for her before getting up,0
4_9_1,Use the phone at the gym to call her friend,2
4_10_1,Ask to use the receptionist's phone at the gym.,2
4_11_1,Ask the desk if she can make a phone call,2
4_12_1,she should get help from others,3
4_13_1,Ask the gym to comp her one day.,7
4_14_1,go to the gym and explain the situation,7
4_15_1,Go back to work w/o talking to her friend,9
4_16_1,Wait there and let her friend know when she gets there,6
4_17_1,ask the person at the desk to call her friend for her,13
4_18_1,Ask someone at the gym to use their phone so Liz can call her friend.,3
4_19_1,Wait for her friend to let her know.,6
4_20_1,pay to reestablish her membership,1
4_21_1,borrow another phone,3
4_22_1,use a phone at the desk,2
4_23_1,Ask to use someone else's phone.,3
4_24_1,Leave a message at the front desk,10
4_25_1,Renew the membership,1
4_26_1,get a new membership,1
4_27_1,ask the gym to borrow a phone,2
4_28_1,Abandon her friend,4
4_29_1,ask to get in for free,7
4_30_1,ask a stranger to borrow their phone,3
4_31_1,Renew her membership,1
4_32_1,call from the place phone,2
4_33_1,Renew her membership.,1
4_34_1,Ask the person behind the desk to use their phone.,2
4_35_1,Purchase a new membership,1
4_36_1,Renew her membership,1
4_37_1,"Ask the worker, to use her phone to call her friend.",2
4_38_1,Just go and find her friend anyway.,5
4_39_1,Walk back to work.,9
4_40_1,wait for her friend,6
4_41_1,sneak in,5
4_42_1,use someone else's phone,3
4_43_1,Renew her member ship on the spot.,1
4_44_1,Wait outside for her friend,6
4_45_1,"Borrow a phone from the gym,",2
4_46_1,Liz could lie that she was not feeling fine so they don't have to go.,11
4_47_1,Buy a new membership,1
4_48_1,asking a stranger to use their phone,3
4_49_1,Ask someone if she could use their phone to call her friend,3
4_50_1,She could show up and tell the gym she left her membership card at home and see if they let her in,7
4_51_1,Go to a local business and borrow their phone to call her friend.,3
4_52_1,ask if she can use the phone at the gym,2
4_53_1,Renew her membership.,1
4_54_1,Ask the receptionist at the gym to let her friend know the situation for her.,13
4_55_1,She could ask the gym for a guest pass,8
4_56_1,"No phone but has her wallet, then pay for her membership then and there.",1
4_57_1,Game,0
4_58_1,ask to use their phone,2
4_59_1,Sneak in to play.,5
4_60_1,borrow a phone,3
4_61_1,she decide take phone from others ,3
4_62_1,Go back and get her phone,12
4_63_1,renew her membership,1
4_64_1,buy a membership,1
4_65_1,Wait for her friend to tell her,6
4_66_1,Borrow someone's phone,3
4_67_1,ask a gym worker to look for her friend,13
4_68_1,Renew membership ,1
4_69_1,Renew her membership,1
4_70_1,ask someone if she can borrow their phone,3
4_71_1,Go back to work,9
4_72_1,Try to find a person outside the gym who would let her use their phone,2
4_73_1,Pay for her membership and go on in.,1
4_74_1,Ask someone to use their phone to call her friend.,2
4_75_1,Renew her membership,1
4_76_1,Wait until her friend arrives to tell her about the problem,6
4_77_1,get a new membership,1
4_78_1,pay the renewal,1
4_79_1,Try to sneak in,5
4_80_1,Go in to the gym anyways.,5
4_81_1,Go to the office of the gym and ask to use their phone to call her friend.,2
4_82_1,Ask the gym about getting a one day pass,8
4_83_1,Leave a note for her friend at the desk,10
4_84_1,wait and tell the friend when she arrives,6
4_85_1,wait until her friend arrives and explain the situation.,6
4_86_1,She can ask somebody to use a phone so she can contact her friend.,3
4_87_1,She will ask someone else for their phone to try and call her friend.,3
4_88_1,Slow performance,0
4_89_1,ask gym to let her use their phone to contact friend,2
4_90_1,buy a membership,1
4_91_1,Drink plenty of water:,0
4_92_1,Leave the gym,4
4_93_1,Pay her membership so she can go in,1
4_94_1,renew her membership,1
4_95_1,ask someone who works there to deliver the message,13
4_96_1,skip it and explain to her friend later,11
4_97_1,ask to go in for just a moment to speak with the friend,7
4_98_1,Liz could renew her membership immediately,1
4_99_1,Borrow the phone at the gym personnel desk,2
4_100_1,Renew her membership.,1
4_101_1,buy a new membership,1
4_102_1,Leave a note a the desk at the gym.,10
4_103_1,ask to use the gym phone,2
4_104_1,get a new membership,1
4_1_2,Go back to work and ignore it.,9
4_2_2,borrow someone's phone to call her friend,3
4_3_2,Call her friend from the phone in the gym,2
4_4_2,Go to the gym and update her membership,1
4_5_2,Ask the person at the desk to call her friend,13
4_6_2,Wait for friend do something else,6
4_7_2,Liz can leave without saying anything,4
4_8_2,Borrow somebody else's phone,3
4_9_2,Renew her membership,1
4_10_2,Renew her membership,1
4_11_2,Just wait for her friend at the gym,6
4_12_2,she try to contact her friend from other phone ,3
4_13_2,Ask to use the gym's phone,2
4_14_2,tell her friend the next day that she was sick and couldn't make it,11
4_15_2,go back to work and call her friend from there,12
4_16_2,Ask someone to contact her for you,13
4_17_2,ditch her friend and go back to work to get her phone,12
4_18_2,Ask the front desk at the gym to call her friend for her.,13
4_19_2,Update her gym membership.,1
4_20_2,leave and not tell her friend,4
4_21_2,alert the gym staff to tell her,13
4_22_2,ask another member to call your friend,3
4_23_2,Ask to use the front desk's phone.,2
4_24_2,wait in front of the gym,6
4_25_2,Ask to use someone's phone,3
4_26_2,ask someone to get her friend,13
4_27_2,pay for a new membership,1
4_28_2,Wait for her friend outside,6
4_29_2,buy a temporary pass,8
4_30_2,try to find her friend outside the gym,6
4_31_2,Ask if she could just go in once,7
4_32_2,just wait until the friend comes,6
4_33_2,Ask if they can play for free.,7
4_34_2,Leave and find a phone to call them on.,12
4_35_2,Simply not show without letting anyone know,4
4_36_2,Ask the people at the front desk to tell her friend,13
4_37_2,Wait outside her friend will show up.,6
4_38_2,Go back to the office and tell her friend what happened.,12
4_39_2,Hitchhike,8
4_40_2,ask to use a phone,2
4_41_2,go home,14
4_42_2,go anyway and try to get in,5
4_43_2,Wait until her friend gets to the gym to tell her.,6
4_44_2,Ask the desk attendant to page her friend,13
4_45_2,Go home and call.,14
4_46_2,Liz could tell her friend about her expired membership.,11
4_47_2,Use a public phone,15
4_48_2,going online to renew the membership before she goes there,1
4_49_2,Wait for her friend to arrive at the gym,6
4_50_2,She could just talk to her friend later,11
4_51_2,Ask the receptionist at the gym to let her friend know.,13
4_52_2,ask if someone at the gym can let her friend know,13
4_53_2,Ask someone if she can borrow their phone to call her friend.,3
4_54_2,"Go home, leaving her friend wondering why she did not make it. ",14
4_55_2,She could renew her membership on the spot,1
4_56_2,"Ask management to let her in because she's a member and is good for it, then pay it the next day.",7
4_57_2,Gym,0
4_58_2,renew membership,1
4_59_2,Ask someone to use their phone.,3
4_60_2,email her,10
4_61_2,go away from the gym,4
4_62_2,Tell a worker to tell her friend,13
4_63_2,leave a message at the gym front desk for her friend,10
4_64_2,go back without telling her friend,9
4_65_2,See if she can reapply,1
4_66_2,Ask to be let in and speak to her friend,7
4_67_2,ask the gym to use their phone,2
4_68_2,Borrow a phone ,3
4_69_2,or wait for her friend and tell he she cant play because she doesn't want to renew her membership,1
4_70_2,ask the front desk if they can page her friend,13
4_71_2,Wait for her freind to come,6
4_72_2,Go back to her job and call her friend when she gets back to her phone,12
4_73_2,Borrow a phone and call/text her friend.,3
4_74_2,go back to the office and call her friend from her phone that she isn't showing up.,12
4_75_2,Ask to borrow a phone at the gym to call her friend,2
4_76_2,Renew her membership,1
4_77_2, borrow someone elses phone,3
4_78_2,play dumb and pretend she didn't know about the expiration,7
4_79_2,Purchase another membership,1
4_80_2,Tell someone at the front desk what happened so she can be allowed in.,7
4_81_2,Ask a stranger to borrow their phone to call a friend.,3
4_82_2,Ask the gym to page her friend to the front desk. ,13
4_83_2,"Wait for her friend and use friends' ""buddy pass"" for the day",8
4_84_2,renew the membership,1
4_85_2,ghost her friend.,4
4_86_2,She can go to the gym anyways and ask what can be done about her membership.,1
4_87_2,She will ask someone if she can pass without a card.,8
4_88_2,Pin the problem,0
4_89_2,renew membership,1
4_90_2,leave,4
4_91_2,Exercise each day,0
4_92_2,buy a new membership,1
4_93_2,Ask staff to communicate this to the friend,13
4_94_2,ask if she can use the gym phone to contact her friend,2
4_95_2,ask someone going into the gym to tell her,13
4_96_2,ask to borrow a phone,3
4_97_2,sneak in while no one is looking just to speak with the friend,5
4_98_2,Liz could borrow someone's phone,3
4_99_2,Ask another person at the gym to borrow their phone,3
4_100_2,Stand up her friend.,0
4_101_2,sneak in,5
4_102_2,Leave a note on the friend's car.,4
4_103_2,go back and get her stuff,12
4_104_2,Go home,14
4_1_3,Buy a day pass.,8
4_2_3,go back to work,9
4_3_3,Leave and explain to her friend later,11
4_4_3,Go back to her desk to get her phone,12
4_5_3,Renew her membership now,1
4_6_3,Ditch friend and lie,4
4_7_3,Liz can renew her membership,1
4_8_3,Ask somebody else to tell her friend,13
4_9_3,Wait for her friend to get to the gym and explain the situation,6
4_10_3,Find a pay phone to use.,15
4_11_3,Leave the gym and go back to the office to give her friend a call,12
4_12_3,she try to get with her friend house ,0
4_13_3,Sneak in behind someone else.,5
4_14_3,go to the gym and renew her memebership,1
4_15_3,see if the gym will let her in so she can re-up her membership,1
4_16_3,Find out if you are able to pay your way into the gym for one-day use,8
4_17_3,ask someone coming in to get her friend,13
4_18_3,Liz can try to catch her friend before it is too late by leaving the gym and driving to where she thinks her friend will be.,4
4_19_3,Just go back to work.,9
4_20_3,sneak in,5
4_21_3,she could leave,4
4_22_3,ask another member to borrow there phone,3
4_23_3,Pay for a new membership.,1
4_24_3,not show up,4
4_25_3,Wait for her friend to tell her,6
4_26_3,borrow a phone,3
4_27_3,leave without telling her friend,4
4_28_3,Borrow the phone at the gym,2
4_29_3,sneak in,5
4_30_3,renew her membership,1
4_31_3,Call for her friend,2
4_32_3,ask to renew her membership,1
4_33_3,See if her friend has a membership with buddy passes. ,8
4_34_3,Do nothing and explain it later.,11
4_35_3,Drive down and let her friends know the situation in person,6
4_36_3,Ask if she can tell her friend she can't play,13
4_37_3,See if she can afford to renew her membership on the spot.,1
4_38_3,Pay for a new membership.,1
4_39_3,Ask a stranger for a ride.,8
4_40_3,pay for membership,1
4_41_3,barrow someones phone,3
4_42_3,leaving without letting her friend know,4
4_43_3,Ask to use the gym phone to call her friend.,2
4_44_3,Go back to her office,9
4_45_3,Wait for friend.,6
4_46_3,Liz could choose not to say a word about it.,11
4_47_3,Renew membership,1
4_48_3,locating a payphone,15
4_49_3,Get a new membership,1
4_50_3,She could wait outside for her friend to show up and talk to her about it,6
4_51_3,Ask the receptionist for a day pass after explaining the situation.,8
4_52_3,ask to go in just to let her friend know,7
4_53_3,Ditch her friend.,4
4_54_3,Plead with the front desk to allow her one extra day explaining her membership just expired. ,7
4_55_3,She could ask a gym employee to tell her friend what happened,13
4_56_3,Wait for her friend and take her out to lunch.,6
4_57_3,friend,0
4_58_3,go to here friend to tell her,13
4_59_3,Go back to work.,9
4_60_3,do nothing,9
4_61_3,Ask apology to the gym management ,7
4_62_3,Go home,14
4_63_3,have the gym page her friend on the intercom,13
4_64_3,ask a stranger for their phone,3
4_65_3,Get staff to let her friend know,13
4_66_3,Renew the membership,1
4_67_3,renew her membership using existing payment info,1
4_68_3,Pay for day pass,8
4_69_3,wait for her friend and play with renewed membership,1
4_70_3,renew her membership at the front desk,1
4_71_3,Try to convince the receptionist to let her in,7
4_72_3,Wait outside the gym for her friend,6
4_73_3,"See if her friend is already inside, and get a message to them.",13
4_74_3,Do nothing.,0
4_75_3,Try to sneak in the gym without a current membership,5
4_76_3,Leave the gym and never contact her friend again,4
4_77_3,go back and get her phone,12
4_78_3,ask a friend to get her phone,3
4_79_3,Ask the staff to let her in for a day,7
4_80_3,Renew her membership.,1
4_81_3,Renew her membership.,1
4_82_3,Ask the gym to extend her membership for the day and she can pay next time,7
4_83_3,Pay for new memebership,1
4_84_3,leave the gym ,4
4_85_3,attempt to run back to the office and get her phone.,12
4_86_3,She can go back to her office.,9
4_87_3,She will sneak in.,5
4_88_3,Identify the solution,0
4_89_3,leave message with gym for the friend,10
4_90_3,wait and tell her friend the situation,6
4_91_3,Find an accountability partner:,0
4_92_3,wait for her friend to show up,6
4_93_3,Go back to the office and call her,12
4_94_3,wait for her friend to arrive and then explain the situation,6
4_95_3,ask to borrow someone's phone,3
4_96_3,explain to the gym and ask if she can still play,7
4_97_3,sneak in for the full workout,5
4_98_3,Liz could ask someone to send a message to her friend,3
4_99_3,Find a computer near by to send a message through facebook,13
4_100_3,Wait for her friend and tell they should just go home.,6
4_101_3,ignore friend,4
4_102_3,Wait on the friend to leave the gym.,6
4_103_3,leave her friend hanging,4
4_104_3,return to work,9
4_1_4,Ask to be let in for just today.,7
4_2_4,buy a guest pass to the gym,8
4_3_4,Wait outside to meet her friend,6
4_4_4,Walk the same way her friend would walk and try to find her,6
4_5_4,Skip the game,4
4_6_4,Go get phone,12
4_7_4,Liz can not renew her membership,1
4_8_4,Tell the receptionist at the gym what's going on,7
4_9_4,Go back to the office and get her phone,12
4_10_4,Borrow another member's phone,3
4_11_4,Pay for a new membership,1
4_12_4,she try to get her phone by seeking help from others,3
4_13_4,Ask the gym to use the credit card on file from her last membership.,1
4_14_4,call the gym and have them get a message to Liz,13
4_15_4,Leave a message on her friend's car.,10
4_16_4,Talk to the front desk and see if they would make an exception,7
4_17_4,run past the desk and find her friend inside the gym,5
4_18_4,Liz can renew her gym membership.,1
4_19_4,Go out for lunch instead.,16
4_20_4,promise to pay next time,7
4_21_4,she could ask to enter to tell her friend,7
4_22_4,if no phone go to another place or business to use there phone,3
4_23_4,Stay and explain to her friend.,6
4_24_4,Explain later,11
4_25_4,Go back to work,9
4_26_4,go back and call,12
4_27_4,stay there and tell her friend when her friend arrives,6
4_28_4,Borrow a stranger's phone,3
4_29_4,renew her membership,1
4_30_4,go back to work,9
4_31_4,Run back to get her phone,12
4_32_4,leave the place,4
4_33_4,"Cancel the racquetball game once her friend arrives, and explain. .",11
4_34_4,Ask if they'll let her in anyway.,7
4_35_4,Go there and leave a message with the staff,10
4_36_4,Pay for the price of a racquetball game,8
4_37_4,Tell worker her situation ask for a 1 day free pass.,7
4_38_4,Sneak past the worker and go play racquetball with her friend.,5
4_39_4,Ask the staff for a ride.,7
4_40_4,leave ,4
4_41_4,lie to get in,5
4_42_4,pay for her new membership,1
4_43_4,Ask a gym member to use their phone to call her friend.,2
4_44_4,Sneak into the gym,5
4_45_4,Start running outside while waiting.,6
4_46_4,Liz could cancel out on her game with her friend without stating why.,11
4_47_4,Go back to work,9
4_48_4,going anyway to the gym,0
4_49_4,Do nothing and leave the gym,4
4_50_4,she can buy a new membership,1
4_51_4,Drive home and call from the house to have someone at the gym let her friend know.,13
4_52_4,go back to work and then call her from there,12
4_53_4,Leave a note with the gym to give to her friend.,10
4_54_4,Sneak in through the back and play the game with her friend. ,5
4_55_4,She could ignore the problem and go have lunch,16
4_56_4,Wait for her friend and figure out something alternate to do.,6
4_57_4,her membership,1
4_58_4,go home,14
4_59_4,Pay for a new membership.,1
4_60_4,send her a message with someone,3
4_61_4,Go to another gym,0
4_62_4,Pay for a new membership,1
4_63_4,borrow a phone from someone nearby,3
4_64_4,bribe the front desk for a trial membership,8
4_65_4,Rush back to get the phone and text her,12
4_66_4,Leave and go back to work,9
4_67_4,go back to office and call,12
4_68_4,See if she has a bring a friend for a day thing,8
4_69_4,go back to office and call her friend and tell her the situation,12
4_70_4,sneak into gym when no one is looking,5
4_71_4,Renew her membership,1
4_72_4,Try to get her membership card renewed,1
4_73_4,Stay and wait for her friend.,6
4_74_4,Renew her membership while she's there at the gym.,1
4_75_4,"Ask her friend to sponsor her as a ""guest"" ",8
4_76_4,Buy a day pass,8
4_77_4,see if they will let her in to talk to her friend,7
4_78_4,ask her friend to pay her renewal now with the promise of payback,1
4_79_4,Ask to be let in to tell her friend she can't play,7
4_80_4,Go back to the office for her phone.,12
4_81_4,Wait until her friend gets there to tell her friend.,6
4_82_4,Wait for her friend to get out of the gym.,6
4_83_4,"Go back to the office, get phone, call friend",12
4_84_4,go back to office and use phone to tell friend,12
4_85_4,renew her gym membership.,1
4_86_4,She can go and eat a lunch by herself.,16
4_87_4,She will steal someone's membership card.,5
4_88_4,Conduct analysis,0
4_89_4,"return to work, get phone & call friend",12
4_90_4,tell gym staff that she forgot her membership id,7
4_91_4,The study goes on to recommend that those who sit daily,0
4_92_4,sneak into the racquetball room,5
4_93_4,Do nothing and leave,4
4_94_4,just leave and pretend she thought they were supposed to play another time or day,4
4_95_4,find a pay phone ,15
4_96_4,renew her membership,1
4_97_4,pay for another membership ,1
4_98_4,Liz could sit out and wait for her friend,6
4_99_4,Wait until her friend gets there to explain the situation,6
4_100_4,Wait for her friend and go out to lunch with them instead.,6
4_101_4,borrow a phone to explain issue to friend,3
4_102_4,Ask anyone else nearby to deliver a message.,3
