Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,629,TRUE,35,9,100,30,68,,71,,77,100,,69,51,3,57,,,,,27,Male,Black / African American,,Master's Degree (MS),Rung 4,commit credit card fraud,reschedule for a later flight,overcharge the next customers,borrow someone's phone,copy a friend's assignment,,pretend they are conjoined twins,,tailgate the car,steal whatever she has on her,,take a train instead,borrow their mom’s wedding ring,buy his father a tent,organize a fishing crew,,,
100,236,TRUE,2,1,80,,55,0,0,80,0,,5,,70,,65,,,85,,56,Female,Hispanic / Latino,,College Graduate (4 year),Rung 3,take out a loan,steal a passing driver's car,overcharge the next customers,,copy a friend's assignment,collect wood to start a fire,give her ticket to Ted,tackle him and hold him down,take a detour at the next exit,,check that the doors are locked,,tell his sister as soon as possible,,serve engine fuel to the passengers,,,steal his dogs for extra speed
100,521,TRUE,,,1,11,10,3,,0,2,,1,,94,82,,0,2,51,,63,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 4,,,explain the situation to his boss,pay for a day-pass to the gym,quickly try to redo the assignment,search for a water source,,tackle him and hold him down,honk an angry message in Morse code,,check that the doors are locked,,blame it on the maid of honor,abandon his father,,give Todd her water,tell his lawyer that he’s sick,hide him in the snow
100,334,TRUE,0,,39,81,,81,,43,86,39,97,100,23,,,51,,22,,26,,Black / African American,,College Graduate (4 year),Rung 2,switch insurance plans,,pay the money from his own wallet,crawl past the front desk,,steal all of the food and water,,wave to the parents,ram into the car,take her to his house but no further,pour water on the car to cool it,threaten security with the knife,call the taxi company,,,hike until she finds cell service,,call for help
100,443,TRUE,40,,30,,,,0,,19,39,31,100,81,,100,8,19,100,,45,Female,White / Caucasian,,College Graduate (4 year),Rung 3,go on strike for better wages,,explain the situation to his boss,,,,give her ticket to Ted,,honk an angry message in Morse code,steal whatever she has on her,pour water on the car to cool it,pretend the knife is part of a hip replacement,call the taxi company,,throw disobedient passengers off the boat,hike until she finds cell service,leave the store unattended,steal his dogs for extra speed
100,254,TRUE,,,0,100,10,40,,60,,10,0,,100,5,90,,100,100,,26,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 3,,,overcharge the next customers,pay for a day-pass to the gym,bring in the assignment the next day,search for a water source,,make cat noises at him until he leaves,,refuse to drive her,check that the doors are locked,,blame it on the maid of honor,move into his father’s apartment,request supplies to be airdropped,,stage a break-in at the store,steal his dogs for extra speed
100,392,TRUE,0,70,0,3,,,,,100,0,80,100,15,,95,75,,0,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,steal a passing driver's car,pay the money from his own wallet,pay for a day-pass to the gym,,,,,ram into the car,call her a cab,slash the tires,threaten security with the knife,run away,,serve engine fuel to the passengers,yell at Todd for getting stuck,,leave her dogs with him
100,152,TRUE,,62,56,63,,,53,,,62,62,66,58,45,51,,68,50,,34,Male,Black / African American,,Master's Degree (MS),Rung 7,,reschedule for a later flight,sell one of his kidneys,borrow someone's phone,,,go without Ted,,,take her to his house but no further,call emergency services,store the knife in an airport locker,steal someone else’s ring,check in on his father daily,request supplies to be airdropped,,tell his lawyer that he’s sick,steal his dogs for extra speed
100,552,TRUE,1,1,81,100,0,94,100,2,0,,,25,,,10,,,3,,31,Female,Black / African American,,High School or equivalent,Rung 7,go on strike for better wages,reschedule for a later flight,explain the situation to his boss,pay for a day-pass to the gym,hypnotize the teacher,boost morale with a three-legged race,try to buy a ticket off another person,ask the parents if they know him,take a detour at the next exit,,,hide the knife in someone else's bag,,,serve engine fuel to the passengers,,,carry her competitor on her sled
100,124,TRUE,,57,38,67,32,31,,,80,57,90,51,,67,,62,80,,,35,Male,White / Caucasian,,Master's Degree (MS),Rung 9,,demand that the airline delays the flight,pay the money from his own wallet,renew her membership,quickly try to redo the assignment,collect wood to start a fire,,,honk an angry message in Morse code,yell in gibberish until she leaves,light a fire under the car,store the knife in an airport locker,,check in on his father daily,,yell at Todd for getting stuck,stage a break-in at the store,
100,300,TRUE,2,,44,43,31,98,,13,100,,,100,100,,95,0,,100,,24,Other,Asian / Pacific Islander,,College Graduate (4 year),Rung 3,commit credit card fraud,,overcharge the next customers,crawl past the front desk,copy a friend's assignment,throw away all of the food,,keep an eye on him,tailgate the car,,,threaten security with the knife,steal someone else’s ring,,throw disobedient passengers off the boat,give Todd her water,,hide him in the snow
100,449,TRUE,,51,85,,1,,1,1,,1,24,,1,34,12,1,1,,,43,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,reschedule for a later flight,stage a robbery,,call her mom,,teleport into the concert,ask the parents if they know him,,call her a cab,check that the doors are locked,,run away,pitch his situation to a reality TV network,ration their food,get her arm stuck in solidarity,lock up the store,
100,426,TRUE,,,30,,70,30,30,20,10,10,,30,80,40,,40,10,,,27,Female,Native American / American Indian,,Some College,Rung 3,,,explain the situation to his boss,,lie that her house burnt down,search for a water source,pretend they are conjoined twins,keep an eye on him,tailgate the car,turn invisible,,take a train instead,run away,buy his father a tent,,leave Todd to save herself,lock up the store,
100,382,TRUE,1,1,100,,22,76,0,1,0,,100,,50,,81,,,0,,43,Male,White / Caucasian,,Master's Degree (MS),Rung 7,take out a loan,take a public bus,stage a robbery,,quickly try to redo the assignment,boost morale with a three-legged race,go without Ted,wave to the parents,pull over and call 911,,light a fire under the car,,run away,,throw disobedient passengers off the boat,,,call for help
100,535,TRUE,,51,50,82,29,70,,60,5,,20,,60,10,70,40,,,,69,Female,White / Caucasian,,Some College,Rung 4,,demand that the airline delays the flight,stage a robbery,pull the fire alarm,bring in the assignment the next day,throw away all of the food,,wave to the parents,take a detour at the next exit,,call emergency services,,steal someone else’s ring,move into his father’s apartment,organize a fishing crew,hike until she finds cell service,,
100,242,TRUE,34,6,,44,,40,,,,5,83,,30,3,30,85,59,1,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 6,go on strike for better wages,call a taxi,,pull the fire alarm,,throw away all of the food,,,,call her a cab,slash the tires,,tell his sister as soon as possible,get another job,sell all the food to the highest bidder,get her arm stuck in solidarity,stage a break-in at the store,finish the race
100,449,TRUE,20,9,10,61,,,,,0,0,0,100,100,0,,2,0,,,59,Male,White / Caucasian,,High School or equivalent,Rung 6,go on strike for better wages,reschedule for a later flight,sell one of his kidneys,renew her membership,,,,,take a detour at the next exit,take her to his house but no further,call emergency services,threaten security with the knife,steal someone else’s ring,move into his father’s apartment,,yell at Todd for getting stuck,tell his lawyer that he’s sick,
100,429,TRUE,0,75,0,,40,,5,,5,65,,80,,,90,95,0,65,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 8,take out a loan,demand that the airline delays the flight,sell one of his kidneys,,call her mom,,teleport into the concert,,honk at the driver until they pull over,steal whatever she has on her,,store the knife in an airport locker,,,organize a fishing crew,get her arm stuck in solidarity,tell his lawyer that he’s sick,call for help
100,384,TRUE,50,13,80,70,10,8,48,,,,91,50,89,,35,12,,,,20,Male,White / Caucasian,,Some College,Rung 4,commit credit card fraud,steal a passing driver's car,stage a robbery,pull the fire alarm,copy a friend's assignment,collect wood to start a fire,give her ticket to Ted,,,,light a fire under the car,pretend the knife is part of a hip replacement,tell his sister as soon as possible,,organize a fishing crew,saw Todd’s arm off,,
100,573,TRUE,,0,0,100,0,0,,0,0,,0,,30,0,0,5,,,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 2,,try to convince a passing driver to trade cars,get an advance payday loan,lie that she left her card inside,copy a friend's assignment,huddle to conserve energy,,read his mind,honk an angry message in Morse code,,ask to use the mall's loudspeaker,,borrow their mom’s wedding ring,get another job,request supplies to be airdropped,leave Todd to save herself,,
100,205,TRUE,,,,31,93,40,,100,81,0,0,10,91,80,,20,,15,,22,Other,Black / African American,,High School or equivalent,Rung 3,,,,renew her membership,call her mom,collect wood to start a fire,,tackle him and hold him down,take a detour at the next exit,refuse to drive her,call emergency services,pretend the knife is part of a hip replacement,steal someone else’s ring,pitch his situation to a reality TV network,,hike until she finds cell service,,hide him in the snow
100,560,TRUE,,,,90,80,45,90,60,,5,,100,,95,100,5,50,0,,74,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,,,crawl past the front desk,call her mom,huddle to conserve energy,steal someone else's ticket,make cat noises at him until he leaves,,turn invisible,,ask to check the knife,,abandon his father,throw disobedient passengers off the boat,yell at Todd for getting stuck,ask a friend to take over,leave her dogs with him
100,351,TRUE,3,,60,,0,8,28,81,100,,0,97,28,,95,50,,,,33,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 5,switch insurance plans,,get an advance payday loan,,lie that her house burnt down,collect wood to start a fire,try to buy a ticket off another person,make cat noises at him until he leaves,ram into the car,,check that the doors are locked,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,,serve engine fuel to the passengers,saw Todd’s arm off,,
100,644,TRUE,0,20,,5,,40,,0,0,0,,20,10,40,,,25,0,,31,Male,White / Caucasian,,Some College,Rung 5,commit credit card fraud,try to convince a passing driver to trade cars,,lie that she left her card inside,,huddle to conserve energy,,wave to the parents,honk at the driver until they pull over,take her to his house but no further,,take a train instead,borrow their mom’s wedding ring,buy his father a tent,,,leave the store unattended,carry her competitor on her sled
100,654,TRUE,,,,46,28,,,19,5,7,10,,13,79,97,14,40,3,,64,Female,White / Caucasian,,Master's Degree (MS),Rung 6,,,,borrow someone's phone,bring in the assignment the next day,,,keep an eye on him,honk an angry message in Morse code,turn invisible,pour water on the car to cool it,,borrow their mom’s wedding ring,abandon his father,serve engine fuel to the passengers,give Todd her water,lock up the store,finish the race
100,313,TRUE,,10,0,40,,1,100,39,60,,,30,93,,100,,10,10,,22,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,reschedule for a later flight,explain the situation to his boss,lie that she left her card inside,,search for a water source,teleport into the concert,wave to the parents,honk at the driver until they pull over,,,ask to check the knife,blame it on the maid of honor,,throw disobedient passengers off the boat,,lock up the store,carry her competitor on her sled
100,375,TRUE,0,0,0,,0,20,0,50,,,0,10,,,,20,10,10,,26,Female,White / Caucasian,,College Graduate (4 year),Rung 3,go on strike for better wages,try to convince a passing driver to trade cars,pay the money from his own wallet,,hypnotize the teacher,huddle to conserve energy,give her ticket to Ted,keep an eye on him,,,pour water on the car to cool it,store the knife in an airport locker,,,,leave Todd to save herself,leave the store unattended,carry her competitor on her sled
100,259,TRUE,16,94,58,78,19,,55,,100,100,,100,100,,86,,34,,,35,Male,Hispanic / Latino,,College Graduate (4 year),Rung 3,start a fundraiser,steal a passing driver's car,get an advance payday loan,renew her membership,lie that her house burnt down,,try to buy a ticket off another person,,tailgate the car,steal whatever she has on her,,hide the knife in someone else's bag,tell his sister as soon as possible,,sell all the food to the highest bidder,,leave the store unattended,
100,419,TRUE,30,80,,80,,,91,20,10,1,1,,100,1,40,,90,,,42,Female,Black / African American,,College Graduate (4 year),Rung 5,switch insurance plans,steal a passing driver's car,,borrow someone's phone,,,steal someone else's ticket,ask the parents if they know him,tailgate the car,turn invisible,ask to use the mall's loudspeaker,,blame it on the maid of honor,move into his father’s apartment,organize a fishing crew,,ask a friend to take over,
100,247,TRUE,1,39,50,71,0,55,61,,,,0,63,,0,,2,25,,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 4,start a fundraiser,demand that the airline delays the flight,sell one of his kidneys,pay for a day-pass to the gym,bring in the assignment the next day,boost morale with a three-legged race,give her ticket to Ted,,,,call emergency services,threaten security with the knife,,get another job,,get her arm stuck in solidarity,ask a friend to take over,
100,536,TRUE,,86,9,91,,,4,50,,3,,80,40,26,91,4,15,,,56,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,demand that the airline delays the flight,explain the situation to his boss,pull the fire alarm,,,give her ticket to Ted,read his mind,,take her to his house but no further,,ask to check the knife,call the taxi company,pitch his situation to a reality TV network,sell all the food to the highest bidder,hike until she finds cell service,call his lawyer,
100,523,TRUE,,95,30,,90,20,0,,0,0,35,91,20,0,,,100,,,58,Female,White / Caucasian,,Some College,Rung 4,,take a public bus,get an advance payday loan,,hypnotize the teacher,boost morale with a three-legged race,go without Ted,,pull over and call 911,refuse to drive her,slash the tires,ask to check the knife,run away,move into his father’s apartment,,,stage a break-in at the store,
100,361,TRUE,0,100,,,100,,,0,100,0,100,,50,50,0,0,,0,,30,Male,White / Caucasian,,Some College,Rung 6,search for the medication on the black market,call a taxi,,,quickly try to redo the assignment,,,ask the parents if they know him,ram into the car,call her a cab,check that the doors are locked,,borrow their mom’s wedding ring,pitch his situation to a reality TV network,organize a fishing crew,yell at Todd for getting stuck,,call for help
100,377,TRUE,60,,80,80,90,,90,61,,40,60,,,60,,2,20,90,,67,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,commit credit card fraud,,overcharge the next customers,crawl past the front desk,lie that her house burnt down,,steal someone else's ticket,keep an eye on him,,steal whatever she has on her,ask to use the mall's loudspeaker,,,buy his father a tent,,give Todd her water,ask a friend to take over,finish the race
100,935,TRUE,50,,0,,100,,100,0,,0,,100,50,,0,0,75,0,,67,Female,White / Caucasian,,Master's Degree (MS),Rung 6,go on strike for better wages,,pay the money from his own wallet,,bring in the assignment the next day,,steal someone else's ticket,keep an eye on him,,call her a cab,,take a train instead,tell his sister as soon as possible,,request supplies to be airdropped,get her arm stuck in solidarity,leave the store unattended,leave her dogs with him
100,651,TRUE,20,94,,61,100,29,1,81,,,100,,,38,6,,53,49,,45,Female,White / Caucasian,,College Graduate (4 year),Rung 4,start a fundraiser,reschedule for a later flight,,pay for a day-pass to the gym,hypnotize the teacher,steal all of the food and water,try to buy a ticket off another person,tackle him and hold him down,,,light a fire under the car,,,check in on his father daily,organize a fishing crew,,call his lawyer,finish the race
100,742,TRUE,40,4,,60,91,,100,4,10,25,,,70,6,,1,2,,,49,Male,Asian / Pacific Islander,,Master's Degree (MS),Rung 5,go on strike for better wages,call a taxi,,crawl past the front desk,copy a friend's assignment,,pretend they are conjoined twins,ask the parents if they know him,honk at the driver until they pull over,refuse to drive her,,,borrow their mom’s wedding ring,move into his father’s apartment,,hike until she finds cell service,tell his lawyer that he’s sick,
100,277,TRUE,27,,10,,,9,,20,21,6,100,81,,8,100,0,,100,,29,Male,White / Caucasian,,College Graduate (4 year),Rung 5,search for the medication on the black market,,get an advance payday loan,,,search for a water source,,keep an eye on him,honk an angry message in Morse code,call her a cab,pour water on the car to cool it,threaten security with the knife,,get another job,serve engine fuel to the passengers,get her arm stuck in solidarity,,steal his dogs for extra speed
100,355,TRUE,10,25,0,,25,55,0,,100,,,0,,0,30,0,0,,,27,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 7,switch insurance plans,try to convince a passing driver to trade cars,explain the situation to his boss,,quickly try to redo the assignment,search for a water source,give her ticket to Ted,,ram into the car,,,store the knife in an airport locker,,check in on his father daily,ration their food,hike until she finds cell service,call his lawyer,
100,341,TRUE,0,52,,100,100,,9,31,,0,,,82,,11,30,100,71,,31,Female,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,take a public bus,,pull the fire alarm,hypnotize the teacher,,pretend they are conjoined twins,tackle him and hold him down,,refuse to drive her,,,blame it on the maid of honor,,ration their food,leave Todd to save herself,leave the store unattended,steal his dogs for extra speed
100,424,TRUE,19,,,,54,61,77,32,,4,52,,64,23,42,33,,8,,53,Male,White / Caucasian,,Some College,Rung 4,take out a loan,,,,lie that her house burnt down,steal all of the food and water,steal someone else's ticket,keep an eye on him,,yell in gibberish until she leaves,slash the tires,,steal someone else’s ring,buy his father a tent,ration their food,saw Todd’s arm off,,carry her competitor on her sled
100,629,TRUE,10,100,,100,,10,0,50,0,,0,100,50,50,,0,,,,40,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 5,search for the medication on the black market,try to convince a passing driver to trade cars,,lie that she left her card inside,,huddle to conserve energy,go without Ted,tackle him and hold him down,pull over and call 911,,slash the tires,hide the knife in someone else's bag,call the taxi company,buy his father a tent,,yell at Todd for getting stuck,,
100,1113,TRUE,0,,,10,50,50,,,0,0,0,30,,80,,0,0,0,,65,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 6,commit credit card fraud,,,renew her membership,lie that her house burnt down,throw away all of the food,,,tailgate the car,yell in gibberish until she leaves,call emergency services,ask to check the knife,,pitch his situation to a reality TV network,,give Todd her water,lock up the store,carry her competitor on her sled
100,944,TRUE,2,95,75,,,25,,85,0,2,,75,,90,95,95,35,,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 4,search for the medication on the black market,take a public bus,get an advance payday loan,,,steal all of the food and water,,make cat noises at him until he leaves,pull over and call 911,yell in gibberish until she leaves,,ask to check the knife,,abandon his father,serve engine fuel to the passengers,leave Todd to save herself,lock up the store,
100,242,TRUE,3,,71,60,40,50,,,91,15,60,1,,,,14,9,98,,27,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,take out a loan,,overcharge the next customers,crawl past the front desk,lie that her house burnt down,steal all of the food and water,,,ram into the car,turn invisible,slash the tires,take a train instead,,,,hike until she finds cell service,tell his lawyer that he’s sick,steal his dogs for extra speed
100,448,TRUE,0,5,10,19,1,10,29,,5,,100,100,,,,,0,0,,42,Female,White / Caucasian,,College Graduate (4 year),Rung 6,start a fundraiser,reschedule for a later flight,sell one of his kidneys,lie that she left her card inside,call her mom,huddle to conserve energy,teleport into the concert,,honk at the driver until they pull over,,light a fire under the car,hide the knife in someone else's bag,,,,,lock up the store,call for help
100,290,TRUE,1,3,25,0,75,4,,0,3,,,,,3,44,,92,67,,29,Female,White / Caucasian,,Master's Degree (MS),Rung 6,commit credit card fraud,call a taxi,explain the situation to his boss,pay for a day-pass to the gym,copy a friend's assignment,collect wood to start a fire,,ask the parents if they know him,tailgate the car,,,,,get another job,throw disobedient passengers off the boat,,stage a break-in at the store,hide him in the snow
100,339,TRUE,,,100,75,,61,74,,,0,0,20,10,0,100,30,0,,,35,Male,White / Caucasian,,Master's Degree (MS),Rung 6,,,stage a robbery,borrow someone's phone,,throw away all of the food,teleport into the concert,,,yell in gibberish until she leaves,ask to use the mall's loudspeaker,store the knife in an airport locker,tell his sister as soon as possible,pitch his situation to a reality TV network,sell all the food to the highest bidder,saw Todd’s arm off,lock up the store,
100,537,TRUE,3,41,85,100,,3,51,4,,0,,100,5,,56,,0,,,51,Female,White / Caucasian,,Some College,Rung 6,search for the medication on the black market,take a public bus,get an advance payday loan,crawl past the front desk,,huddle to conserve energy,pretend they are conjoined twins,wave to the parents,,call her a cab,,pretend the knife is part of a hip replacement,run away,,ration their food,,tell his lawyer that he’s sick,
100,447,TRUE,,58,100,52,0,,42,65,,52,45,,20,,58,,62,35,,25,Female,Black / African American,,Some College,Rung 6,,reschedule for a later flight,stage a robbery,lie that she left her card inside,quickly try to redo the assignment,,try to buy a ticket off another person,read his mind,,steal whatever she has on her,pour water on the car to cool it,,tell his sister as soon as possible,,request supplies to be airdropped,,tell his lawyer that he’s sick,hide him in the snow
100,601,TRUE,1,67,,,,1,,15,12,,0,91,48,1,97,0,,1,,60,Female,Hispanic / Latino,,Master's Degree (MS),Rung 5,take out a loan,demand that the airline delays the flight,,,,collect wood to start a fire,,read his mind,honk at the driver until they pull over,,ask to use the mall's loudspeaker,threaten security with the knife,call the taxi company,check in on his father daily,throw disobedient passengers off the boat,give Todd her water,,call for help
100,433,TRUE,,70,,100,,10,0,50,15,,,100,45,10,85,15,,0,,60,Female,Other,Hispanic + White,Master's Degree (MS),Rung 7,,call a taxi,,pull the fire alarm,,boost morale with a three-legged race,go without Ted,make cat noises at him until he leaves,tailgate the car,,,pretend the knife is part of a hip replacement,steal someone else’s ring,pitch his situation to a reality TV network,sell all the food to the highest bidder,get her arm stuck in solidarity,,carry her competitor on her sled
100,790,TRUE,,9,0,,62,83,0,8,22,100,,,,0,0,,100,0,,29,Female,White / Caucasian,,Master's Degree (MS),Rung 6,,take a public bus,stage a robbery,,quickly try to redo the assignment,throw away all of the food,pretend they are conjoined twins,read his mind,tailgate the car,steal whatever she has on her,,,,get another job,sell all the food to the highest bidder,,stage a break-in at the store,finish the race
100,817,TRUE,15,,,70,,,,5,0,0,0,75,5,60,,0,0,0,,66,Female,White / Caucasian,,College Graduate (4 year),Rung 3,start a fundraiser,,,borrow someone's phone,,,,wave to the parents,pull over and call 911,yell in gibberish until she leaves,check that the doors are locked,take a train instead,call the taxi company,abandon his father,,give Todd her water,call his lawyer,leave her dogs with him
100,380,TRUE,,19,,23,2,,47,0,1,,,3,100,2,93,,0,0,,32,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,steal a passing driver's car,,pay for a day-pass to the gym,copy a friend's assignment,,try to buy a ticket off another person,ask the parents if they know him,honk at the driver until they pull over,,,take a train instead,run away,abandon his father,sell all the food to the highest bidder,,ask a friend to take over,leave her dogs with him
100,421,TRUE,60,40,50,,,100,94,20,,9,80,,91,92,96,5,,,,24,Male,White / Caucasian,,Some College,Rung 4,switch insurance plans,demand that the airline delays the flight,sell one of his kidneys,,,boost morale with a three-legged race,teleport into the concert,read his mind,,take her to his house but no further,pour water on the car to cool it,,run away,buy his father a tent,serve engine fuel to the passengers,leave Todd to save herself,,
100,402,TRUE,20,50,0,,,40,100,,40,0,100,,10,,,30,10,100,,65,Female,White / Caucasian,,Master's Degree (MS),Rung 6,search for the medication on the black market,call a taxi,sell one of his kidneys,,,search for a water source,steal someone else's ticket,,take a detour at the next exit,refuse to drive her,slash the tires,,blame it on the maid of honor,,,yell at Todd for getting stuck,ask a friend to take over,steal his dogs for extra speed
100,299,TRUE,4,,100,,,1,0,,0,0,35,87,100,,,1,0,100,,65,Female,White / Caucasian,,"Professional Degree (MD, JD, etc.)",Rung 7,search for the medication on the black market,,overcharge the next customers,,,boost morale with a three-legged race,pretend they are conjoined twins,,pull over and call 911,call her a cab,light a fire under the car,ask to check the knife,run away,,,get her arm stuck in solidarity,call his lawyer,hide him in the snow
100,411,TRUE,29,,20,39,,,,71,50,,0,30,,81,50,28,9,100,,37,Female,White / Caucasian,,Some College,Rung 4,go on strike for better wages,,explain the situation to his boss,crawl past the front desk,,,,wave to the parents,honk at the driver until they pull over,,pour water on the car to cool it,ask to check the knife,,abandon his father,organize a fishing crew,saw Todd’s arm off,ask a friend to take over,steal his dogs for extra speed
100,875,TRUE,1,100,,100,1,1,,1,1,1,,,,1,,1,1,1,,75,Male,Black / African American,,College Graduate (4 year),Rung 3,switch insurance plans,steal a passing driver's car,,pull the fire alarm,call her mom,steal all of the food and water,,make cat noises at him until he leaves,pull over and call 911,turn invisible,,,,check in on his father daily,,yell at Todd for getting stuck,leave the store unattended,leave her dogs with him
100,324,TRUE,,9,,21,100,100,,1,,,1,,8,7,4,1,100,1,,72,Female,White / Caucasian,,High School or equivalent,Rung 6,,reschedule for a later flight,,pull the fire alarm,bring in the assignment the next day,throw away all of the food,,wave to the parents,,,check that the doors are locked,,call the taxi company,check in on his father daily,request supplies to be airdropped,give Todd her water,stage a break-in at the store,call for help
100,405,TRUE,10,51,,30,100,15,50,,,0,,100,30,0,0,0,,,,36,Female,Black / African American,,Some College,Rung 3,go on strike for better wages,demand that the airline delays the flight,,borrow someone's phone,lie that her house burnt down,huddle to conserve energy,pretend they are conjoined twins,,,turn invisible,,hide the knife in someone else's bag,blame it on the maid of honor,move into his father’s apartment,organize a fishing crew,give Todd her water,,
100,369,TRUE,0,,0,5,,,0,50,0,75,0,,75,0,0,,25,,,30,Male,White / Caucasian,,High School or equivalent,Rung 4,take out a loan,,pay the money from his own wallet,renew her membership,,,pretend they are conjoined twins,make cat noises at him until he leaves,take a detour at the next exit,steal whatever she has on her,pour water on the car to cool it,,steal someone else’s ring,check in on his father daily,ration their food,,tell his lawyer that he’s sick,
100,712,TRUE,,,80,25,,,,35,5,2,1,,25,1,80,25,50,50,,60,Male,Other,Mexican-Czech-American,College Graduate (4 year),Rung 3,,,overcharge the next customers,renew her membership,,,,read his mind,honk an angry message in Morse code,refuse to drive her,ask to use the mall's loudspeaker,,blame it on the maid of honor,move into his father’s apartment,serve engine fuel to the passengers,saw Todd’s arm off,lock up the store,finish the race
100,258,TRUE,,15,80,,,0,0,,60,0,15,10,50,5,,,5,20,,22,Male,White / Caucasian,,High School or equivalent,Rung 4,,take a public bus,overcharge the next customers,,,boost morale with a three-legged race,try to buy a ticket off another person,,honk at the driver until they pull over,take her to his house but no further,slash the tires,ask to check the knife,tell his sister as soon as possible,buy his father a tent,,,leave the store unattended,leave her dogs with him
100,286,TRUE,0,4,,,100,1,1,,,,0,100,3,3,2,1,,20,,54,Female,White / Caucasian,,Some College,Rung 3,start a fundraiser,call a taxi,,,copy a friend's assignment,steal all of the food and water,go without Ted,,,,ask to use the mall's loudspeaker,threaten security with the knife,blame it on the maid of honor,check in on his father daily,request supplies to be airdropped,yell at Todd for getting stuck,,hide him in the snow
100,287,TRUE,,50,,81,70,,82,,95,9,5,91,30,20,99,25,,,,57,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,demand that the airline delays the flight,,lie that she left her card inside,quickly try to redo the assignment,,steal someone else's ticket,,ram into the car,refuse to drive her,check that the doors are locked,hide the knife in someone else's bag,run away,pitch his situation to a reality TV network,serve engine fuel to the passengers,yell at Todd for getting stuck,,
100,388,TRUE,,32,0,85,28,,81,,83,,97,90,10,100,,88,2,,,45,Female,White / Caucasian,,Master's Degree (MS),Rung 7,,take a public bus,pay the money from his own wallet,pull the fire alarm,bring in the assignment the next day,,teleport into the concert,,tailgate the car,,light a fire under the car,threaten security with the knife,borrow their mom’s wedding ring,buy his father a tent,,saw Todd’s arm off,ask a friend to take over,
100,302,TRUE,51,,100,,85,44,0,14,2,,,,50,13,,15,0,11,,50,Male,White / Caucasian,,College Graduate (4 year),Rung 6,switch insurance plans,,overcharge the next customers,,lie that her house burnt down,throw away all of the food,teleport into the concert,make cat noises at him until he leaves,take a detour at the next exit,,,,borrow their mom’s wedding ring,check in on his father daily,,leave Todd to save herself,lock up the store,leave her dogs with him
100,632,TRUE,0,30,80,90,20,,0,60,40,50,,90,,30,60,,,,,30,Other,White / Caucasian,,Some College,Rung 2,take out a loan,steal a passing driver's car,sell one of his kidneys,borrow someone's phone,call her mom,,go without Ted,read his mind,honk an angry message in Morse code,refuse to drive her,,threaten security with the knife,,get another job,organize a fishing crew,,,
100,257,TRUE,53,,65,,,67,30,59,,43,9,,,36,21,16,13,54,,24,Male,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,,sell one of his kidneys,,,steal all of the food and water,teleport into the concert,wave to the parents,,take her to his house but no further,slash the tires,,,get another job,throw disobedient passengers off the boat,give Todd her water,tell his lawyer that he’s sick,finish the race
100,823,TRUE,10,100,,,93,,1,93,20,20,100,82,91,,,70,,20,,74,Female,White / Caucasian,,College Graduate (4 year),Rung 6,switch insurance plans,steal a passing driver's car,,,copy a friend's assignment,,give her ticket to Ted,make cat noises at him until he leaves,honk an angry message in Morse code,turn invisible,light a fire under the car,take a train instead,steal someone else’s ring,,,leave Todd to save herself,,finish the race
100,810,TRUE,,25,,15,25,,19,10,2,,,20,36,5,16,,4,12,,45,Female,Other,mixed,"Professional Degree (MD, JD, etc.)",Rung 5,,take a public bus,,pay for a day-pass to the gym,hypnotize the teacher,,try to buy a ticket off another person,ask the parents if they know him,take a detour at the next exit,,,take a train instead,tell his sister as soon as possible,get another job,ration their food,,call his lawyer,finish the race
